object_class,space,cluster_id,cluster_size,high_overlap_flag,top_radicals,prototype_labels,prototype_definitions_sample,mean_cosine_to_centroid,max_cosine_to_centroid
characters,semantic,8,427,false,"口(56%), 一(14%), 言(11%), 日(7%), 人(6%), 八(6%), 耳(5%), 丶(5%)",唅 | 䪯 | 㕧 | 嚱 | 咾 | 嚆 | 嗁 | 㖪 | 㘀 | 䛁,"a sound; to put in the mouth; (Cant.) to grunt, grumble | sound, whisper, to groan; to moan | used to represent sound; to hum; to groan | a shrill noise; alas! | a noise; a sound",0.820737,0.946279
characters,semantic,9,402,false,"土(17%), 木(17%), 一(15%), 門(14%), 口(13%), 广(12%), 人(9%), 丶(6%)",㢅 | 闑 | 闈 | 闱 | 闼 | 闥 | 䧋 | 喥 | 閌 | 闶,"a shield; a screen, a tall building; an edifice, (same as 弄) an alley; a lane | the doorsill | gate, door; living quarters | gate, door; living quarters | door; gate",0.753849,0.882433
characters,semantic,10,273,false,"水(74%), 一(16%), 土(11%), 口(11%), 人(10%), 木(8%), 日(8%), 八(6%)",㳪 | 㳦 | 漍 | 㳸 | 㳵 | 㳖 | 㴪 | 㵑 | 沘 | 㵂,a river | a river | a river | name of a river | name of a river,0.818168,0.94641
characters,semantic,11,176,false,"糸(69%), 一(18%), 口(12%), 八(9%), 毛(9%), 巾(8%), 木(8%), 日(7%)",綐 | 䌼 | 䋷 | 䌆 | 䋦 | 綃 | 紽 | 缍 | 綞 | 缣,"a kind of fine silk fabric | a kind of fine silk fabric | a kind of thick, loosely-woven raw silk fabric | silk fabrics | ravelled silk",0.846069,0.967227
characters,semantic,12,395,false,"一(21%), 口(15%), 人(12%), 八(10%), 土(9%), 日(7%), 木(7%), 亠(6%)",尭 | 堯 | 氓 | 䆐 | 䄢 | 䑑 | 㕜 | 䧙 | 祏 | 姺,"a legendary ancient emperor-sage | a legendary ancient emperor-sage | people; subjects; vassals | (ancient form of 國) a country; a nation; a kingdom; a state | (same as 齋) pious; respectful; chaste; pure, to abstain from meat, wine, etc., to fast, (same as 齊) equal; uniform, name",0.743376,0.884524
characters,semantic,13,404,false,"手(48%), 一(16%), 口(14%), 人(10%), 丿(8%), 木(6%), 八(6%), 足(6%)",㨮 | 㪼 | 摵 | 捦 | 㩳 | 攋 | 捽 | 掅 | 撍 | 妠,"to lift up; to take in the hand, to control, to open; (Cant.) to seize, grasp | to pull; to drag; to hinder; to snatch away | (Cant.) to pull, lift up | to seize; to clutch; to arrest; to capture; (Cant.) to climb | to hold; to grasp, to detain, to uphold, to push, to stand upright; expel, to shirk, to raise up",0.78463,0.922377
characters,semantic,14,381,false,"土(26%), 石(20%), 一(16%), 口(14%), 木(9%), 穴(8%), 田(7%), 八(6%)",磥 | 㿨 | 䂼 | 䂽 | 䃯 | 䂪 | 㢂 | 㧂 | 坜 | 䥟,"a heap of stones; boulders | (same as 皪) small stones, gravel, shingle | (a kind of) rocks; stones | (a kind of) rocks; stones | (abbreviated form of 礫) small stones; pebble; gravel; shingle",0.777779,0.911601
characters,semantic,15,328,false,"心(44%), 口(21%), 一(13%), 人(9%), 丿(8%), 八(7%), 疒(6%), 丶(6%)",慘 | 哀 | 惆 | 㿊 | 悒 | 㐫 | 㗤 | 怛 | 惻 | 㜇,"sad, pitiful, wretched; cruel | sad, mournful, pitiful; pity | distressed, regretful, sad | very painful; agonizing (same as 憯) sad; sorrowful; grieved | sorrowful, depressed, unhappy",0.845818,0.93996
characters,semantic,16,247,false,"風(28%), 雨(17%), 一(16%), 口(13%), 水(11%), 日(10%), 羽(9%), 八(7%)",飕 | 颾 | 䬛 | 䬞 | 䬃 | 䬏 | 䬀 | 飗 | 飀 | 飌,"sound of wind; blow chilly | blowing of the wind | the roaring of the wind, cold wind | wind; storm, sound of the wind | (same as 颯) the sound of wind, a gust; suddenly",0.792311,0.913328
characters,semantic,17,257,false,"口(42%), 一(22%), 齒(21%), 耳(8%), 人(7%), 刀(6%), 丿(5%), 頁(5%)",㖞 | 噆 | 㱉 | 㳄 | 噉 | 齚 | 齩 | 䶠 | 䶡 | 骾,"(simplified form of 喎) a wry mouth | to hold in the mouth; to bite | moving of the mouth | (a variant of 涎) spittle, saliva | bite, chew; (Cant.) like this, in this way",0.81418,0.926625
characters,semantic,18,399,false,"一(16%), 山(12%), 人(11%), 丿(9%), 口(9%), 水(8%), 大(6%), 日(6%)",弉 | 灝 | 㕅 | 㑨 | 宏 | 濊 | 嵳 | 大 | 偉 | 嵯,"large, powerful, stout, thick | vast, large, grand, expansive | big; extremely; great; vast; extensive; tall | great; big; tall; vast, noble; high in rank, very; much | wide, spacious, great, vast",0.79803,0.942647
characters,semantic,19,383,false,"犬(23%), 牛(18%), 一(15%), 口(14%), 豕(8%), 羊(8%), 丿(8%), 八(7%)",㺘 | 䝣 | 㹼 | 䮠 | 䴣 | 犺 | 亃 | 狌 | 㸳 | 狢,a kind of animal | a kind of animal | a kind of animal | a kind of animal | a kind of animal,0.801973,0.953114
characters,semantic,20,733,false,"口(16%), 一(16%), 人(13%), 手(11%), 言(10%), 心(9%), 丿(8%), 八(7%)",㧫 | 㧐 | 䦍 | 㪋 | 㩉 | 㧃 | 䛷 | 䝯 | 㦻 | 㗖,"to hold; to grasp, to maintain; to keep, a post, to lead on, (same as 擩) to rub, to crumble by hand, to massage; mixed-u | (simplified form of 㩳) to hold; to grasp, to detain, to uphold, to push, to stand upright | to include; to embrace, to search for, intransigent; stubborn; obstinate | (same as 扞, 捍) to resist; to oppose; to obstruct, to defend; to guard; to ward off, (same as 㪃) to thump; to beat; to st | (same as 搨) to take a rubbing of an inscription on stone, etc., (same as 拉) to pull; to drag; to hold, to beat; to strik",0.822908,0.928543
characters,semantic,21,155,false,"米(35%), 禾(27%), 一(17%), 食(13%), 田(9%), 八(9%), 丿(8%), 日(8%)",穜 | 穋 | 稑 | 䅋 | 䄿 | 䊫 | 䊄 | 䊘 | 糁 | 䊔,rice | rice | rice | a kind of grain; sweet and round rice | a kind of rice plant,0.854567,0.956537
characters,semantic,22,222,false,"山(68%), 一(18%), 口(16%), 土(11%), 阜(9%), 八(8%), 丶(7%), 人(6%)",㠑 | 㟆 | 㠓 | 㟦 | 㟊 | 㟈 | 㠦 | 㟄 | 㟀 | 㞻,"high, rugged mountain | name of a mountain | name of a mountain | name of a mountain | name of a mountain",0.855882,0.957611
characters,semantic,23,344,false,"水(75%), 一(15%), 口(10%), 雨(9%), 人(8%), 日(7%), 八(6%), 丿(6%)",㵱 | 洊 | 溻 | 㳜 | 㫠 | 㴋 | 㳚 | 溌 | 㳨 | 溚,flowing water | flowing water | wet | the flowing water | a kind of water,0.817844,0.940239
characters,semantic,24,144,false,"酉(56%), 口(15%), 一(14%), 丶(7%), 八(7%), 人(6%), 十(6%), 丿(6%)",䣥 | 醽 | 醾 | 醿 | 䤑 | 醖 | 䭨 | 㿿 | 㐩 | 䤖,a kind of wine | kind of wine | a kind of liquor | a kind of liquor | wine,0.808111,0.943625
characters,semantic,25,356,false,"魚(71%), 一(19%), 口(12%), 八(10%), 虫(10%), 日(9%), 丿(7%), 十(5%)",䱞 | 䲐 | 䲂 | 鰔 | 䲀 | 䱿 | 䱲 | 䱬 | 䲏 | 䱚,a kind of fish | a kind of fish | a kind of fish | a kind of fish | a kind of fish,0.812639,0.968157
characters,semantic,26,220,false,"瓦(23%), 一(20%), 木(15%), 口(14%), 八(13%), 缶(12%), 金(10%), 皿(10%)",㼵 | 㼝 | 㽈 | 㼴 | 䉗 | 䍌 | 罉 | 㿼 | 㼡 | 罆,"a small basin; a bowl. a cup; a pot; a jar | (same as 盌) (a variant of 碗) a bowl; a basin; a cup; a dish | a large earthenware jar with a small mouth and two or four ears; a big pot; bottle; pitcher; jug; vase | an earthen vessel; a basin; a pot; a jar | a receptacle or container, as a cup, ladle, spoon, etc.",0.765837,0.92584
characters,semantic,27,379,false,"衣(37%), 一(16%), 糸(15%), 口(13%), 人(12%), 巾(12%), 丿(8%), 亠(8%)",䙇 | 襭 | 䠵 | 䊿 | 䙩 | 袽 | 䙙 | 䙣 | 㠸 | 裌,"clothes of coarse fabric, seams; a fold; pleat of a garment, shirt; jacket | tuck up hem of garment and wrap | to wear clothes | (same as 衭) the lapel or collar of a garment or robe, drawers, (dialect) trousers or pants | clothes",0.789761,0.922095
characters,semantic,28,592,false,"一(19%), 口(16%), 心(15%), 女(14%), 人(12%), 日(9%), 八(9%), 大(7%)",淑 | 愉 | 㷩 | 禕 | 恔 | 䘗 | 豓 | 娬 | 烉 | 麗,"good, pure, virtuous, charming | pleasant, delightful; please | (a variant of 熙) bright, splendid. Intelligent, prosperous | excellent, rare; beautiful, fine | cheerful; bright, sagacious",0.821006,0.936238
characters,semantic,29,330,false,"貝(33%), 人(19%), 一(17%), 口(16%), 示(10%), 八(9%), 丶(7%), 十(7%)",䞈 | 㬸 | 㒲 | 䝭 | 䝩 | 䝵 | 䞃 | 軷 | 朓 | 礿,"(ancient form of 貨) money; wealth, natural endowment or gifts, to aid or help, to gamble; to bet, to compete | a kind of services or ceremonies of offering sacrifices | (a variant of 財) wealth; property; valuables, bribes | wages; salary, to redeem; to ransom | (same as 賑) to relieve or give aid to the distressed; to support, rich; wealthy",0.773686,0.898425
characters,semantic,30,148,false,"一(18%), 丿(13%), 丨(9%), 八(7%), 口(5%), 土(4%), 冂(3%), 亠(3%)",覀 | 曰 | 讠 | 襾 | 玄 | 冂 | 冖 | 彐 | 韭 | 釆,"variant of Kangxi radical 146 | say; Kangxi radical 73 | simplified Kangxi radical 149 | cover; Kangxi radical 146 | deep, profound, abstruse; Kangxi radical 95",0.824146,0.943623
characters,semantic,31,388,false,"足(24%), 一(16%), 辵(14%), 口(13%), 走(12%), 人(10%), 彳(8%), 丿(8%)",䞯 | 跞 | 躒 | 䟛 | 趖 | 䠈 | 䠠 | 䢌 | 㣞 | 㣜,"to walk, to move quickly; to run; to hurry, to reach the time-limit; to mature | walk, move | walk, move | walking rapidly; in a hurry, to stride over; to step across | to walk, go",0.818366,0.922318
characters,semantic,32,268,false,"口(19%), 女(19%), 一(17%), 人(14%), 邑(12%), 土(9%), 丿(6%), 丨(6%)",軤 | 撖 | 禢 | 侴 | 篯 | 寪 | 嫘 | 傼 | 凊 | 籛,surname | surname | surname | surname | surname,0.866723,0.965293
characters,semantic,33,693,false,"人(18%), 一(18%), 口(16%), 言(14%), 八(8%), 木(7%), 日(6%), 丿(6%)",詞 | 識 | 词 | 啥 | 叙 | 語 | 辭 | 岂 | 聘 | 詮,"words; phrase, expression | recognize, understand, know | words; phrase, expression | what? | express, state, relate, narrate",0.716944,0.884699
characters,semantic,34,330,false,"口(16%), 一(15%), 人(14%), 日(13%), 丿(10%), 辵(9%), 八(7%), 水(6%)",悜 | 秘 | 邈 | 㥷 | 幽 | 暧 | 奥 | 䢛 | 逺 | 䨾,"obscure | secret, mysterious, abstruse | far, distant, remote; slight | (same as 瘱) quiet; calm; still peaceful, gracefully quiet, clear and evident; obvious, deep and far; profound and abstru | quiet, secluded, tranquil; dark",0.796936,0.898725
characters,semantic,35,202,true,"馬(77%), 一(14%), 口(12%), 丿(9%), 八(8%), 大(8%), 日(8%), 木(7%)",驦 | 骦 | 騻 | 驫 | 䮊 | 䮖 | 䮏 | 䮒 | 騠 | 䮙,horse | horse | horse | horses | name of a horse,0.853219,0.981588
characters,semantic,36,346,false,"心(31%), 口(22%), 一(14%), 丿(9%), 人(9%), 言(9%), 八(8%), 疒(7%)",懛 | 懆 | 悸 | 㦍 | 㦦 | 惝 | 諰 | 悁 | 兢 | 㤸,"alarmed, scared; stupid | anxious, apprehensive | fearful, apprehensive, perturbed | (same as 愕) to be startled, alarmed, to speak out; to speak up, frank statement, an obstacle or hindrance; to obstruct;  | apprehensive; fearful; afraid, ashamed, uneasy in mind; not feeling at peace; disturbed",0.797661,0.933741
characters,semantic,37,221,false,"竹(90%), 一(13%), 口(11%), 木(9%), 丿(9%), 八(8%), 人(7%), 丶(6%)",䈂 | 簜 | 䈣 | 䉏 | 䇪 | 䉆 | 䉄 | 䈘 | 䈍 | 䇙,a kind of bamboo | bamboo | name of a variety of bamboo | name of a variety of bamboo | name of a variety of bamboo,0.879233,0.976951
characters,semantic,38,302,false,"艸(50%), 一(16%), 口(15%), 鳥(13%), 木(13%), 虫(12%), 人(9%), 魚(8%)",蘩 | 蒌 | 蔞 | 蕕 | 莸 | 芩 | 䓈 | 鵙 | 䖲 | 鷏,Artemisia stelleriana | Artemisia stelleriana | Artemisia stelleriana | Caryopteris divaricata | Caryopteris divaricata,0.711082,0.83549
characters,semantic,39,206,false,"火(75%), 一(19%), 口(16%), 日(14%), 人(9%), 木(8%), 艸(7%), 丨(7%)",㸎 | 㷄 | 㶹 | 㷰 | 焔 | 㷬 | 煚 | 㶯 | 爖 | 爟,"warm, fire; flame | fire; flames | fire; flames | flames | flame, blaze; glowing, blazing",0.837293,0.964577
characters,semantic,40,155,true,"玉(92%), 一(21%), 丿(9%), 口(8%), 八(8%), 日(6%), 人(6%), 木(6%)",㻿 | 玚 | 㻑 | 㺸 | 㻔 | 㻕 | 珦 | 㺱 | 㻖 | 㺭,a kind of jade | a kind of jade | a kind of jade | a kind of jade | a kind of jade,0.895203,0.979865
characters,semantic,41,278,false,"木(78%), 一(18%), 艸(14%), 人(12%), 口(9%), 丿(8%), 八(8%), 日(6%)",㰀 | 㭑 | 㭔 | 㮅 | 㯗 | 㮹 | 㮿 | 㮩 | 栂 | 杝,a kind of tree | a kind of tree | a kind of tree | a kind of tree | a kind of tree,0.808113,0.961538
characters,semantic,42,571,false,"言(23%), 一(16%), 口(15%), 人(12%), 心(9%), 八(8%), 丶(7%), 十(6%)",䛮 | 䛩 | 㥒 | 赸 | 黷 | 黩 | 䛲 | 谇 | 㥵 | 㤁,"to destroy, to slander; to abuse; to defame, (non-classical form of 咎) a fault; a defect, an error, to blame; to censure | to slander; to defame, (same as 惡) to abominate; to detest, (same as 啞) to laugh; to grin | corrupt; wicked, to hate; to dislike, (same as 猜) to be jealous and suspicious, cunning; crafty | abuse, slander; vilify; ridicule | to dishonor, defile, corrupt; soiled",0.814954,0.929098
characters,semantic,43,425,false,"邑(24%), 水(20%), 一(19%), 山(16%), 口(13%), 人(12%), 八(9%), 日(7%)",贑 | 㮾 | 茌 | 鄍 | 䣄 | 郠 | 郈 | 贛 | 崀 | 筻,Jiangxi province | a place in today's Hunan Province | name of a district in Shandong | a town in Shandong province | name of a place in today's Shandong Province,0.80028,0.929851
characters,semantic,44,321,false,"鳥(71%), 口(13%), 一(13%), 隹(10%), 人(9%), 羽(6%), 八(6%), 日(6%)",鹎 | 䧷 | 䲪 | 鷈 | 䲮 | 䲸 | 䳿 | 䴄 | 䧾 | 䳍,bird | a kind of bird | a kind of bird | a kind of bird | a kind of bird,0.836599,0.971022
characters,semantic,45,420,false,"人(15%), 一(15%), 口(11%), 心(11%), 木(9%), 日(8%), 八(8%), 丿(7%)",谫 | 譾 | 謭 | 䂐 | 㱣 | 褦 | 䞿 | 跙 | 䪏 | 掞,"shallow; stupid | shallow; stupid | shallow; stupid | short (ancient form of 拙) stupid; crude; poor; slow and clumsy | uneven, weak; feeble",0.815939,0.923445
characters,semantic,46,430,false,"糸(34%), 一(16%), 金(13%), 木(11%), 口(10%), 八(7%), 弓(7%), 竹(7%)",絏 | 䌁 | 縆 | 緪 | 絚 | 乼 | 綍 | 繘 | 繨 | 纒,"rope, cable; reins; to tie up, bind | a pleat; fold, a piece of string; ribbon used to tie clothes, a rope; a line; a cord | a rope | a rope | a rope",0.776949,0.924452
characters,semantic,47,846,false,"一(19%), 口(17%), 人(15%), 八(8%), 木(8%), 丿(7%), 言(6%), 日(5%)",嘢 | 覼 | 譍 | 覙 | 槪 | 頙 | 挢 | 晻 | 䛖 | 啽,(Cant.) thing | to explain in detail | answer | explain in detail | generally,0.791829,0.951645
characters,semantic,48,235,false,"禾(31%), 艸(16%), 口(14%), 一(13%), 日(12%), 米(10%), 木(10%), 麥(7%)",䄱 | 䄧 | 䊮 | 䦤 | 䅼 | 穭 | 稆 | 秖 | 䎪 | 䵆,"a kind of grain | a kind of grain | name of a variety of grain | seed of grains | a kind of grains, to plant; to sow; to cultivate",0.776972,0.934561
characters,semantic,49,313,false,"水(23%), 一(19%), 口(12%), 木(10%), 八(9%), 土(8%), 丨(7%), 人(7%)",垢 | 瀸 | 苾 | 溽 | 籸 | 膩 | 鑠 | 葾 | 㗜 | 骯,"dirt, filth, stains; dirty | moisten, soak | smell, fragrance, aroma | moist, humid, muggy | powdery substance",0.738722,0.87816
characters,semantic,50,379,false,"日(39%), 一(17%), 火(12%), 口(12%), 人(10%), 糸(6%), 黑(6%), 木(6%)",㬳 | 㬚 | 㫹 | 㫶 | 㫛 | 㫜 | 㿩 | 晛 | 㫻 | 䆪,"light; bright, clear | light; bright, clear | light; bright, warm, genial | light; bright | light; bright; brilliant, clear, intelligent; day dawn",0.793305,0.926617
characters,semantic,51,395,false,"一(14%), 足(13%), 人(10%), 手(10%), 肉(10%), 口(10%), 木(9%), 八(9%)",袚 | 疋 | 䐟 | 㞆 | 踭 | 䩣 | 䩷 | 踎 | 䐸 | 撉,"greave; knee-pads; buskins | roll, bolt of cloth; foot | fat; plump, bent; curved feet | (same as 踦) one-legged, crippled; halt, a defect, tired, the shin | (Cant.) heel, elbow",0.772519,0.91234
characters,semantic,52,398,false,"刀(24%), 一(18%), 手(16%), 口(14%), 八(11%), 金(10%), 石(8%), 丿(7%)",㓸 | 剟 | 斵 | 㔆 | 刡 | 毟 | 䣦 | 㔍 | 㓟 | 㧟,"(same as 斲) to cut to pieces; to hack; to chop or hew, to carve for ornaments | to prick; to cut blocks, to engrave | to cut to pieces; to hack; to chop or hew; to carve for ornaments | to cut; to hack; to reap; to trim or clip, to stab; to pierce; to brand | to scrape; to pare",0.795047,0.914864
characters,semantic,53,703,false,"一(17%), 口(15%), 艸(12%), 木(11%), 人(10%), 金(9%), 丿(8%), 八(8%)",沄 | 敔 | 箙 | 蔾 | 䩴 | 䩮 | 蕻 | 榱 | 騣 | 䰕,billows | gavel | quiver | kind of bramble | a quiver,0.766912,0.932158
characters,semantic,54,368,false,"食(31%), 肉(22%), 一(17%), 口(14%), 火(12%), 日(9%), 八(8%), 丿(8%)",餇 | 湌 | 餧 | 鍸 | 㢽 | 䐶 | 䓹 | 䬸 | 籑 | 䭤,"food | to eat | steamed bread; to feed | food, gruel | (same as 餌) a bait, cakes, food, to eat",0.783884,0.918923
characters,semantic,55,154,false,"舟(49%), 木(15%), 一(14%), 口(10%), 人(10%), 水(8%), 丶(8%), 竹(7%)",艔 | 舡 | 䑦 | 䑯 | 䑱 | 䑴 | 䑤 | 舩 | 䑣 | 䒆,"(Cant.) boat | boat, ship | a boat; a ship; vessel | a boat; a ship; vessel | a boat; a ship; vessel",0.822064,0.962869
characters,semantic,56,306,false,"疒(51%), 一(19%), 肉(17%), 口(14%), 人(8%), 木(6%), 丿(5%), 日(5%)",痡 | 㑊 | 㿑 | 㾇 | 㽴 | 㽳 | 症 | 㽻 | 病 | 㿚,a disease; an ailment | a kind of disease | illness; disease; ailment | illness; disease; ailment | illness; disease,0.758531,0.932336
characters,semantic,57,369,false,"女(34%), 人(16%), 一(16%), 口(13%), 丿(8%), 日(7%), 八(6%), 十(5%)",㚶 | 親 | 孥 | 娘 | 妸 | 婼 | 㜼 | 伢 | 崽 | 㜑,"(same as 姒) wife of one's husband's elder brother; (in ancient China) the elder of twins; a Chinese family name, (same a | relatives, parents; intimate | one's children | mother; young girl; woman; wife | person",0.73421,0.874313
characters,semantic,58,343,false,"虫(62%), 一(15%), 口(10%), 人(8%), 八(8%), 丶(7%), 犬(7%), 丿(7%)",䘋 | 䖷 | 䎼 | 䗼 | 䗟 | 䗮 | 䗎 | 䗛 | 蟜 | 晜,a kind of insect | a kind of insect | a kind of insect | a kind of insect | a kind of insect,0.773919,0.939357
characters,semantic,59,172,false,"車(69%), 一(15%), 人(14%), 口(12%), 木(8%), 大(7%), 八(6%), 田(6%)",䡳 | 䡉 | 軚 | 䡜 | 䡟 | 䡆 | 鋗 | 䡝 | 樚 | 䡿,"cart, carriage etc. | a kind of cart | (Cant.) a steering wheel | car (of a train); compartment; the inside of a cart, axis; pivot; axle; an axletree | a ring of the horizontal front bar on a carriage; to control the wheel",0.794296,0.932846
