node_id,node_type,symbol,codepoint,kangxi_radical,kangxi_radical_number,in_largest_component,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank
rad:19:力,radical,力,,力,19,1,369,0.013359400456174649,0.006037064630869456,0.3329194493333655,0.00964992244466355,0.0022131075258033056
rad:48:工,radical,工,,工,48,1,408,0.014771369610079287,0.007023474913829058,0.33263875505877816,0.014093099244981774,0.002325354812168162
rad:112:石,radical,石,,石,112,1,486,0.01759530791788856,0.010646127879170676,0.33657924243162873,0.014170429494806814,0.0029044139336967673
rad:26:卩,radical,卩,,卩,26,1,276,0.009992397089171282,0.0039027682594219683,0.32848443038275804,0.0063566162914792165,0.0016297158707033947
rad:135:舌,radical,舌,,舌,135,1,76,0.002751529633250063,0.0006028402593641541,0.3108552261317845,0.0009999880021630957,0.0005009928849051288
rad:76:欠,radical,欠,,欠,76,1,270,0.009775171065493646,0.0040718492764109495,0.3284922447426016,0.009923505285726004,0.0015715215847925297
rad:87:爪,radical,爪,,爪,87,1,344,0.012454292024184497,0.005024387281852945,0.32943267487355665,0.007146946186378129,0.0020062519615080864
rad:39:子,radical,子,,子,39,1,313,0.011331957568516708,0.004342434092016489,0.3284219288857177,0.008316213995982822,0.0018032788838408316
rad:64:手,radical,手,,手,64,1,1059,0.03834039317910285,0.030812382628127046,0.34249820175112233,0.03592151594405588,0.006230900796995971
rad:69:斤,radical,斤,,斤,69,1,228,0.00825458889975019,0.00287839308967965,0.32399108399812293,0.005167627780126592,0.0013686101319880005
rad:160:辛,radical,辛,,辛,160,1,124,0.0044893378226711555,0.0014173588898406264,0.31133181520979414,0.0012120457755819252,0.0008480236650958662
rad:74:月,radical,月,,月,74,1,701,0.025379240433003873,0.014589757033303095,0.3368995047210091,0.017948230258460502,0.003991519661130267
rad:42:小,radical,小,,小,42,1,355,0.012852539734260163,0.003794675040254339,0.33060789618598413,0.014203755411722599,0.001954101899850919
rad:80:毋,radical,毋,,毋,80,1,89,0.0032221860178849424,0.0007798127508154545,0.3093648482132855,0.0007881594444927584,0.0005924761964346992
rad:63:戶,radical,戶,,戶,63,1,11,0.000398247710075667,9.165497809739978e-06,0.22387684625237114,5.778527858675269e-05,7.67092672075592e-05
rad:70:方,radical,方,,方,70,1,244,0.008833858296223887,0.0030003764753873015,0.3282111618178361,0.005891818319603912,0.0014083392517531207
rad:125:老,radical,老,,老,125,1,180,0.0065167807103290966,0.0010457828463599542,0.3178459626185434,0.004502065143297383,0.0010504938079516576
rad:72:日,radical,日,,日,72,1,1933,0.06998298396147858,0.06325328404427166,0.35008746799178564,0.09181756147190408,0.010799282506630049
rad:120:糸,radical,糸,,糸,120,1,922,0.033380398971796815,0.02405818622858067,0.3404126811951484,0.029945518808597384,0.005383908785493545
rad:51:干,radical,干,,干,51,1,160,0.005792693964736975,0.0016663716271782434,0.31806560095821623,0.003029153197720609,0.000997652730560255
rad:119:米,radical,米,,米,119,1,388,0.014047282864487164,0.007760673344861203,0.335752668563231,0.008761239036018607,0.0023013128910781932
rad:136:舛,radical,舛,,舛,136,1,73,0.002642916621411245,0.0002785019604029591,0.3095104675662348,0.001301503505982157,0.0004294572401114262
rad:33:士,radical,士,,士,33,1,323,0.011694000941312769,0.0034743021256440775,0.3315684579551458,0.013980650238914321,0.0017501975882883271
rad:14:冖,radical,冖,,冖,14,1,635,0.022989754172549868,0.011586029633834469,0.3370639783240169,0.024650046545565137,0.003446479779143549
rad:151:豆,radical,豆,,豆,151,1,249,0.009014879982621918,0.0035121578554553764,0.32982611188076244,0.004656905193784414,0.001457428403783883
rad:58:彐,radical,彐,,彐,58,1,226,0.008182180225190978,0.002347814287189764,0.32528857479387513,0.007244812563458153,0.0012869884087482876
rad:77:止,radical,止,,止,77,1,330,0.01194743130227001,0.004142373231863743,0.33003895886612966,0.012516948034135344,0.0018701636610002985
rad:29:又,radical,又,,又,29,1,691,0.025017197060207812,0.01506272633791118,0.33682554395550784,0.014969368023608154,0.004048233070054006
rad:16:几,radical,几,,几,16,1,306,0.011078527207559464,0.004109253169126229,0.3312582463715965,0.005980359954646763,0.0017579889890967624
rad:88:父,radical,父,,父,88,1,75,0.002715325295970457,0.0002583068134401263,0.30697152257519505,0.0011336516077688115,0.0004400468551348033
rad:117:立,radical,立,,立,117,1,281,0.010173418775569312,0.0038632721460000446,0.3313059334437007,0.00772913636297591,0.0016485598646455138
rad:75:木,radical,木,,木,75,1,2318,0.08392165381412693,0.0876972510390514,0.3539007637500641,0.09530300866778811,0.01373998847239042
rad:31:囗,radical,囗,,囗,31,1,383,0.013866261178089133,0.004484243976444535,0.3315684579551458,0.019055195841375556,0.002107683179691715
rad:41:寸,radical,寸,,寸,41,1,442,0.016002317077585895,0.006688758232796651,0.33206281262023857,0.017101490053685303,0.0024520733579742144
rad:20:勹,radical,勹,,勹,20,1,661,0.023931066941819627,0.011440618580977748,0.3368830661884896,0.022648819395357744,0.0036207335696923242
rad:56:弋,radical,弋,,弋,56,1,86,0.0031135730060461242,0.00042011747738292726,0.29898882729949766,0.002758918696749756,0.0005076737649125008
rad:169:門,radical,門,,門,169,1,355,0.012852539734260163,0.005308984169621447,0.32962927597813374,0.009726041418429136,0.002134790178351928
rad:81:比,radical,比,,比,81,1,150,0.005430650591940914,0.0012204198473200775,0.3183662647269038,0.0019401484435215474,0.0009218922478424635
rad:93:牛,radical,牛,,牛,93,1,198,0.007168458781362006,0.002754955012026495,0.3288677717443079,0.005257594989295188,0.001171566129845126
rad:22:匚,radical,匚,,匚,22,1,256,0.00926831034357916,0.002488955017674173,0.3275183226204312,0.007597411297755998,0.0014553641962793823
rad:50:巾,radical,巾,,巾,50,1,500,0.018102168639803046,0.007562289276356569,0.33588334022524385,0.02050842213355418,0.0028018819430895917
rad:57:弓,radical,弓,,弓,57,1,268,0.009702762390934433,0.0037518127457110543,0.3290323349298258,0.007521250748298955,0.0015637702724511408
rad:79:殳,radical,殳,,殳,79,1,189,0.006842619745845551,0.0025077877710332165,0.32119513386522763,0.003077554757352413,0.0011495652079742734
rad:61:心,radical,心,,心,61,1,1160,0.04199703124434307,0.03249389773568045,0.343247408585846,0.03921214911328501,0.006683176202237884
rad:65:支,radical,支,,支,65,1,48,0.0017378081894210925,0.00028332883594683975,0.29876241372595685,0.0006265686893281472,0.0003251635995024134
rad:94:犬,radical,犬,,犬,94,1,451,0.016328156113102347,0.008958626222369833,0.33585883154156737,0.011926174942935802,0.0026282000090730165
rad:62:戈,radical,戈,,戈,62,1,527,0.019079685746352413,0.009269931596396273,0.33460550547639817,0.02643409036402294,0.003078971928223709
rad:43:尢,radical,尢,,尢,43,1,80,0.0028963469823684875,0.0003589883475524223,0.31432246022171134,0.002073226134524555,0.0004461919216323989
rad:86:火,radical,火,,火,86,1,943,0.03414069005466855,0.026530397032313514,0.341321435633775,0.028806300972116828,0.005620411800955146
rad:178:韋,radical,韋,,韋,178,1,93,0.003367003367003367,0.0008097921521944592,0.31303273485672833,0.0016573431530630231,0.000600798836789814
rad:159:車,radical,車,,車,159,1,450,0.016291951775822742,0.00886343831973154,0.3356139412794089,0.01043049602888449,0.002693569181986028
rad:92:牙,radical,牙,,牙,92,1,48,0.0017378081894210925,0.0003395725223920214,0.27226570972257824,0.00027400768448497737,0.0003387232841150752
rad:147:見,radical,見,,見,147,1,197,0.0071322544440824,0.002858936783521262,0.32577973859293163,0.0048888119292305205,0.0012104870538717628
rad:168:長,radical,長,,長,168,1,38,0.0013757648166250315,0.0002133177859535221,0.2615196681881025,0.00022753537551793894,0.00027041848377267185
rad:67:文,radical,文,,文,67,1,92,0.0033307990297237605,0.0006919127128284166,0.31164097587397593,0.0014675592098974577,0.000576816565807831
rad:40:宀,radical,宀,,宀,40,1,687,0.024872379711089385,0.014721164268881343,0.33731099005789383,0.02552073362249152,0.003907145889710246
rad:44:尸,radical,尸,,尸,44,1,475,0.017197060207812895,0.007731833598196912,0.3333614987204867,0.016447116722847727,0.002651656576650715
rad:95:玄,radical,玄,,玄,95,1,56,0.002027442887657941,0.00033161142821455463,0.3022479534211793,0.0008008047391914714,0.0003613101635158094
rad:38:女,radical,女,,女,38,1,990,0.035842293906810034,0.02769332444105024,0.34176917555627057,0.0333041850441601,0.005836402512423489
rad:106:白,radical,白,,白,106,1,463,0.01676260816045762,0.007527061097800747,0.3352554141983102,0.011395570162921323,0.002631877113783216
rad:10:儿,radical,儿,,儿,10,1,696,0.02519821874660584,0.012662083953113707,0.336603856373254,0.031174329176065788,0.0039404597249246085
rad:49:己,radical,己,,己,49,1,267,0.009666558053654828,0.00377041325391109,0.326952218591656,0.00796633118155161,0.0015749043069348363
rad:99:甘,radical,甘,,甘,99,1,54,0.0019550342130987292,0.00042820217403349153,0.2987107101910139,0.0009161712599200775,0.00036449942064446876
rad:107:皮,radical,皮,,皮,107,1,90,0.0032583903551645483,0.0009925292908059182,0.3187778470346515,0.0016262876487897588,0.0005742871082858928
rad:83:氏,radical,氏,,氏,83,1,150,0.005430650591940914,0.0010603437773755336,0.3187557710064635,0.001746419954808661,0.0009239655978094656
rad:113:示,radical,示,,示,113,1,361,0.0130697657579378,0.005823858349235273,0.3336031117124082,0.01603299470668299,0.0020718326196549086
rad:34:夂,radical,夂,,夂,34,1,525,0.0190072770717932,0.006540451565523392,0.33530425914234374,0.024207851266519094,0.0028196105367615724
rad:101:用,radical,用,,用,101,1,50,0.0018102168639803047,0.00014933082759844714,0.28836796491594446,0.0006572163099300117,0.0003046969283886646
rad:98:瓦,radical,瓦,,瓦,98,1,117,0.004235907461713913,0.0014063688384080896,0.31932335869389267,0.003531554079767851,0.0007152492399813078
rad:123:羊,radical,羊,,羊,123,1,177,0.006408167698490279,0.00202887765090456,0.32878163765803947,0.006785074283454604,0.0010319429903862364
rad:36:夕,radical,夕,,夕,36,1,200,0.007240867455921219,0.0022603155952273966,0.32485237725551086,0.0031813475227975476,0.0012100704692693826
rad:128:耳,radical,耳,,耳,128,1,302,0.01093370985844104,0.0043711975876773316,0.3302915779654125,0.007149204972852985,0.0018019026465132437
rad:138:艮,radical,艮,,艮,138,1,100,0.0036204337279606095,0.0006248293556437473,0.3100177364675243,0.0010522100256335945,0.0006175826781735551
rad:53:广,radical,广,,广,53,1,403,0.014590347923681257,0.007031159491655507,0.3336272922757254,0.015018451296438294,0.002293130334292717
rad:133:至,radical,至,,至,133,1,96,0.003475616378842185,0.0007218641435291979,0.3043128526093089,0.0014534900501922251,0.0006070802510808992
rad:78:歹,radical,歹,,歹,78,1,145,0.005249628905542884,0.001660635929590598,0.32327808212763964,0.0037612688479037285,0.0008613476984461926
rad:143:血,radical,血,,血,143,1,32,0.001158538792947395,0.00014360000193816108,0.2821343195145373,0.0005992029071798532,0.0002132255323694924
rad:129:聿,radical,聿,,聿,129,1,89,0.0032221860178849424,0.0007992547219813667,0.3002108879032959,0.0008170952038949203,0.0005929397672381627
rad:126:而,radical,而,,而,126,1,126,0.004561746497230368,0.0007530110350715097,0.3122258400036178,0.001058711293240639,0.0007642341814358756
rad:137:舟,radical,舟,,舟,137,1,159,0.005756489627457369,0.0019479975822186025,0.3272233939192872,0.00357325419583733,0.0009532155001178098
